OrderID,CustomerName,City,Country,FreightType,BookingType,Revenue,TotalLoads,DeliveryStatus,OnTimeDelivery,DriverName,TruckID,OrderDate,DeliveryDate,TransitDays,Month
ORD-10523,Vision Logistics,São Paulo,Brazil,Air Freight,Express,10630.81,1,Delivered,True,David Ade,TRK-650,2025-08-11,2025-08-12,1,2025-08
ORD-10602,Blue Retail,Lagos,Nigeria,Rail Freight,Bulk Contract,12171.01,8,Delivered,False,Samuel Ade,TRK-510,2025-11-17,2025-11-25,8,2025-11
ORD-10526,Titan Imports,Nairobi,Kenya,Rail Freight,Standard,13729.11,9,Delivered,True,Peter Mensah,TRK-132,2025-03-11,2025-03-23,12,2025-03
ORD-10031,Swift Supplies,São Paulo,Brazil,Sea Freight,Bulk Contract,14255.66,3,Delayed,False,Ibrahim Ade,TRK-979,2026-03-19,2026-04-29,41,2026-03
ORD-10616,Nova Holdings,Nairobi,Kenya,Road Freight,Bulk Contract,5841.09,18,Delivered,True,David Ali,TRK-361,2026-02-13,2026-02-15,2,2026-02
ORD-10585,Vision Imports,London,UK,Sea Freight,Express,27312.5,9,Delivered,True,Daniel Smith,TRK-753,2025-01-10,2025-02-06,27,2025-01
ORD-10444,Swift Industries,Toronto,Canada,Road Freight,Bulk Contract,7063.18,12,Delivered,True,David Musa,TRK-645,2026-01-30,2026-02-03,4,2026-01
ORD-10732,Prime Retail,Dubai,UAE,Sea Freight,Express,17936.34,10,Delivered,True,Joseph Musa,TRK-256,2025-03-21,2025-04-23,33,2025-03
ORD-10076,Elite Holdings,Hamburg,Germany,Road Freight,Express,4775.96,8,Delayed,False,Daniel Brown,TRK-990,2025-08-17,2025-08-29,12,2025-08
ORD-10411,Apex Industries,Abuja,Nigeria,Sea Freight,Express,38092.29,6,Delivered,False,John Mensah,TRK-913,2025-01-27,2025-02-26,30,2025-01
ORD-10568,Apex Imports,Abuja,Nigeria,Sea Freight,Standard,30326.29,3,Delivered,True,David Ojo,TRK-795,2025-12-18,2026-01-11,24,2025-12
ORD-10070,Elite Logistics,Abuja,Nigeria,Road Freight,Standard,6409.43,13,Delivered,False,Daniel Okafor,TRK-422,2025-05-28,2025-06-09,12,2025-05
ORD-10675,Global Retail,Toronto,Canada,Air Freight,Standard,6074.72,1,Delivered,True,Victor Ojo,TRK-102,2025-04-27,2025-05-02,5,2025-04
ORD-10101,Swift Partners,Johannesburg,South Africa,Road Freight,Standard,7949.49,12,Delivered,True,David Okafor,TRK-951,2025-06-10,2025-06-18,8,2025-06
ORD-10894,Titan Industries,Dubai,UAE,Road Freight,Same Day,39447.06,13,Delivered,True,Victor Cole,TRK-595,2025-09-07,2025-09-13,6,2025-09
ORD-10925,Metro Supplies,Nairobi,Kenya,Air Freight,Standard,7384.43,15,Delivered,False,Samuel Smith,TRK-176,2026-02-25,2026-02-28,3,2026-02
ORD-10629,Apex Holdings,Dubai,UAE,Road Freight,Standard,42578.82,7,Delivered,True,Daniel Cole,TRK-710,2026-03-03,2026-03-11,8,2026-03
ORD-10299,Metro Retail,Accra,Ghana,Road Freight,Bulk Contract,5200.27,9,Delivered,True,James Okafor,TRK-593,2025-02-22,2025-02-24,2,2025-02
ORD-10924,Elite Retail,Port Harcourt,Nigeria,Road Freight,Standard,7745.02,9,Delivered,True,David Okafor,TRK-610,2026-03-24,2026-03-27,3,2026-03
ORD-10424,Apex Industries,São Paulo,Brazil,Sea Freight,Standard,17535.82,5,In Transit,False,Joseph Khan,TRK-676,2025-06-16,2025-07-07,21,2025-06
ORD-10096,Swift Logistics,Accra,Ghana,Road Freight,Standard,6385.37,3,Delivered,True,Peter Khan,TRK-702,2025-05-09,2025-05-13,4,2025-05
ORD-10900,Global Logistics,Dubai,UAE,Air Freight,Standard,13752.98,7,Delivered,True,James Mensah,TRK-458,2025-01-28,2025-02-01,4,2025-01
ORD-10260,Vision Retail,Port Harcourt,Nigeria,Air Freight,Standard,4826.49,10,Delivered,True,Daniel Smith,TRK-972,2025-03-03,2025-03-08,5,2025-03
ORD-10350,Global Partners,Abuja,Nigeria,Sea Freight,Express,18340.94,12,Delivered,True,Samuel Musa,TRK-325,2025-05-25,2025-06-26,32,2025-05
ORD-10528,Blue Partners,Mumbai,India,Road Freight,Express,5954.0,12,Delivered,True,Daniel Smith,TRK-114,2025-10-11,2025-10-15,4,2025-10
ORD-10694,Nova Partners,Shanghai,China,Sea Freight,Express,22224.03,4,Delivered,False,Michael Okafor,TRK-903,2025-01-28,2025-02-25,28,2025-01
ORD-10361,Blue Supplies,Hamburg,Germany,Road Freight,Same Day,3573.27,10,Delivered,True,James Brown,TRK-339,2025-09-05,2025-09-12,7,2025-09
ORD-10611,Vision Logistics,Lagos,Nigeria,Sea Freight,Standard,26436.44,9,Delivered,True,Daniel Brown,TRK-826,2025-12-28,2026-01-21,24,2025-12
ORD-10884,Elite Imports,Port Harcourt,Nigeria,Road Freight,Standard,6221.77,10,Delivered,False,Ibrahim Khan,TRK-170,2025-07-06,2025-07-14,8,2025-07
ORD-10720,Swift Logistics,Nairobi,Kenya,Road Freight,Standard,7193.19,12,In Transit,False,Ibrahim Musa,TRK-210,2025-02-19,2025-03-03,12,2025-02
